PubmedID,Title,Publication Date,Non-academicAuthor(s),CompanyAffiliation(s),Corresponding Author Email
40184610,Nucleic Acid-Locked Smart Carrier for Photothermal/Chemotherapy-Amplified Immunogenic Cell Death to Enhance Systemic Antitumor Efficacy.,2025-Apr-04,N/A,N/A,N/A
40184571,Lines of Therapy for Locally Advanced/Metastatic Urothelial Carcinoma: The New Paradigm.,2025-Apr-04,N/A,N/A,N/A
40184559,Using Real-World Data for Machine-Learning Algorithms to Predict the Treatment Response in Advanced Melanoma: A Pilot Study for Personalizing Cancer Care.,2025-Apr,N/A,N/A,N/A
40184452,MIST: An interpretable and flexible deep learning framework for single-T cell transcriptome and receptor analysis.,2025-Apr-04,N/A,N/A,N/A
40184365,Findings from a qualitative analysis: Social media influencers of color as trusted messengers of HPV vaccination messages.,2025,Angela Sustaita-Ruiz,N/A,N/A
40184324,Effects of cannabinoids on immune checkpoint inhibitor response: CCTG pooled analysis of individual patient data.,2025-Apr-04,Courtney H Coschi; Keyue Ding; Dongsheng Tu; Christopher O'Callaghan; Lesley Seymour; Pierre-Olivier Gaudreau,N/A,N/A
40184134,Nutritional Risk Index (NRI) predicts the clinical outcomes of patients with gastric cancer who received immune checkpoint inhibitors (PD-1/PD-L1).,2025-Jan-03,N/A,N/A,N/A
40184100,Lung cancer palindromia due to the deficiency of vital energy and blood syndrome treated by TCM herbs: A case report.,2025-Jan-03,N/A,N/A,N/A
40184088,CD274/PD-L1 copy number gained malignant peripheral nerve sheath tumor: A case report and literature review.,2025-Jan-03,N/A,N/A,N/A
40184004,"Neoadjuvant camrelizumab plus trastuzumab and chemotherapy for HER2-positive gastric or gastroesophageal junction adenocarcinoma: a single-arm, phase 2 trial.",2025-Apr-04,N/A,N/A,N/A
40183901,Outcomes of concurrent versus non-concurrent immune checkpoint inhibition with stereotactic radiosurgery for melanoma brain metastases.,2025-Apr-04,N/A,N/A,N/A
40183852,"Lessons learned from a decade of immune checkpoint inhibition: The good, the bad, and the ugly.",2025-Apr-04,Razelle Kurzrock,N/A,N/A
40183827,In vitro and in vivo evaluation of anti-HER2 antibody conjugates labelled with <sup>225</sup>Ac.,2025-Apr-04,N/A,N/A,N/A
40183598,Clinical and pathological outcomes of deferred nephrectomy in patients with metastatic and locally advanced RCC after immune checkpoint inhibitors.,2025-Apr-04,N/A,N/A,N/A
40183457,Expression patterns of immune checkpoint molecules and their clinical values in gastric neuroendocrine neoplasms.,2025-Apr-04,N/A,N/A,N/A
40183381,Analysis of pembrolizumab in microsatellite instability high (MSI-H) and deficient mismatch repair (dMMR) non-colorectal patients with metastatic cancer.,2025-Apr-04,N/A,N/A,N/A
40183369,Roles of PEG10 in cancer and neurodegenerative disorder (Review).,2025-May,N/A,N/A,N/A
40183271,"Immunogenic Cell Death-relevant Molecular Patterns, Prognostic Genes, and Implications for Immunotherapy in Ovarian Cancer.",2025-Apr-03,N/A,N/A,N/A
40183270,Machine Learning-based Gene Biomarker Identification for Improving Prognosis and Therapy in Hepatocellular Carcinoma.,2025-Apr-03,N/A,N/A,N/A
40183219,Real-world data of immune-related adverse events in lung cancer patients receiving immune-checkpoint inhibitors.,2025-Apr-04,N/A,N/A,N/A
